Category,Biller,Messages
Prepaid,Jio,"Your plan MRP 349 for Jio Number 8637677647 has expired on 06-Jan-20 20:20 Hrs. To continue enjoying Jio services, recharge immediately. To recharge, click https://www.jio.com/recharge_singleclick?planId=1007131&utm_source=NE&utm_medium=SMS&utm_campaign=Plan_expiry.Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans."
Prepaid,Jio,"Your plan MRP 349 for Jio Number 8637677647 has expired on 24-Oct-19 15:27 Hrs. To continue enjoying Jio services, recharge immediately. To recharge, click https://www.jio.com/recharge_singleclick?planId=1003863&utm_source=NE&utm_medium=SMS&utm_campaign=Plan_expiry.Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans."
Prepaid,Jio,"Your FREE 30 MINS PROVIDED BY JIO for Jio number 8637677647 will expire on 04-Nov-19 20:20 Hrs. To recharge, click http://tiny.jio.com/RechargePlans . Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans."
Prepaid,Jio,"Your current plan MRP 349 for Jio number 8637677647 will expire on 06-Jan-20 20:20 Hrs. After current plan expiry, your services will stop working if you do not rechargewitha plan. To recharge, click https://www.jio.com/recharge_singleclick?planId=1007131&utm_source=NE&utm_medium=SMS&utm_campaign=PPlan_expiry.Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans."
Prepaid,Vodafone,Your Vodafone Prepaid plan of Rs. 35 for Mobile No. 9787568102 will expire tomorrow. Click to recharge now on Paytm https://p-y.tm/n-pXRdt. Ignore if recharged.
Prepaid,Vodafone,Your Vodafone Prepaid plan of Rs. 35 for Mobile Number 7358875720 will expire tomorrow. Proceed to recharge now on Paytm https://p-y.tm/kV-i2br. Ignore if already recharged.
Prepaid,Vodafone,Your Prepaid base tariff validity expires on 06-Sep-2018! Continue to make mobile calls @ 2.2p/sec & landline calls @2.5p/sec! For Unlimited Offers dial *121#.Alert! Only 489.48 MB left on your daily Data pack. Check your usage on MyVodafone App (www.vodafone.in/Data_Balance) or Dial *111*2*2#
Prepaid,Vodafone,"Hello, your mobile service is valid only till 2019-11-30 23:59:59. Recharge with an Unlimited, Combo or Data pack to continue enjoying uninterrupted services."
Gas,Indane,Order for Cons No 37115 is registered with Ref No.2-000089335100.Refill expected delivery:1 days. Pay online at http://payit.cc/I109113361
Gas,Indane,"Invoice 5-100097906318 of amount Rs. 645 generated for order no.2-000089335100, shall be delivered shortly. Please share OTP 1988 at the time of delivery"
Gas,Indane,Your cyl is delivered with invoice no. 5-100097906318. Please give feedback https://cx.indianoil.in/webcenter/portal/LPG/pages_rf?cId=2-000089335100
Gas,Indane,Order for Cons No 37115 is registered with Ref No.2-000117762740.Refill expected delivery:0 days. Pay online at http://payit.cc/I139422869
Gas,Indane,"Invoice no5-100127441286, Rs.722 generated for Indane LPG refill. Cylinder is under delivery, please share DAC 1584 with delivery men on receipt of refill."
Gas,Indane,Your cyl is delivered with invoice no. 5-100127441286. Please give feedback https://cx.indianoil.in/webcenter/portal/LPG/pages_rf?cId=2-000117762740
Gas,Indane,Order for Cons No 37115 is registered with Ref No.2-000152628232.Refill expected delivery:2 days. Pay online at http://payit.cc/I176236489
Gas,Indane,"Invoice no5-100164471144, Rs.739.5 generated for Indane LPG refill. Cylinder is under delivery, please share DAC 1479 with delivery men on receipt of refill."
Gas,Indane,Your cyl is delivered with invoice no. 5-100164471144. Please give feedback https://cx.indianoil.in/webcenter/portal/LPG/pages_rf?cId=2-000152628232
Gas,Indane,Order for Cons No 37115 is registered with Ref No.2-000198938393.Refill expected delivery:2 days. Pay online at http://payit.cc/I222073471
Gas,Indane,"Invoice no5-100212608518, Rs.759 generated for Indane LPG refill. Cylinder is under delivery, please share DAC 4122 with delivery men on receipt of refill."
Gas,Indane,Your cyl is delivered with invoice no. 5-100212608518. Please give feedback https://cx.indianoil.in/webcenter/portal/LPG/pages_rf?cId=2-000198938393
Gas,Indane,Order for Cons No 37115 is registered with Ref No.2-000117762740.Refill expected delivery:0 days. Pay online at http://payit.cc/I139422869
Gas,Bharath,Cash Memo No 123263 of Rs.752.00 generated for booking No 121027.Plz get the cylinder checked by deliveryman on delivery.
Gas,Bharath,"Ref. your booking no 121027,LPG cylinder was delivered on 25-01-2020.Now Book & Pay for your cylinder on Amazon http://bit.ly/bharatgp"
Gas,Bharath,"Ref. your booking no 102584,LPG cylinder was delivered on 12-12-2019.Now Book & Pay for your cylinder on Amazon http://bit.ly/bharatgp"
Gas,Bharath,Cash Memo No 93082 of Rs.715.00 generated for booking No 90976.Plz get the cylinder checked by deliveryman on delivery.
Gas,Bharath,"Ref. your booking no 90976,LPG cylinder was delivered on 15-11-2019 download our App Android: https://goo.gl/bSBYAb or IOS: https://goo.gl/n2TU8N"
Gas,Bharath,Cash Memo No 104777 of Rs.733.00 generated for booking No 102584.Plz get the cylinder checked by deliveryman on delivery.
Gas,Bharath,Cash Memo No 125677 of Rs.825.00 generated for booking No 123884.Plz get the cylinder checked by deliveryman on delivery.
